id,category_id,name_en,name_fi,description_en,description_fi,price,price_large,discount_price,currency,dietary_tags,allergens,available,image_url,order_links,options_group_ids
house_special_bowl,doner_bowls,House Special Bowl,Talon Special Bowl,"Kebab döner, chicken döner, french fries, rice, curry mayo, chili mayo, hummus, tzatziki, red cabbage, roasted onion, sumac onion, jalapeño, pickles, tomato-cucumber-iceberg salad mix, kebab sauce, garlic mayo","Kebab döner, kana döner, ranskalaiset, riisi, currymajoneesia, chilimajoneesi, hummusta, tzatzikia, punakaalia, paahdettu sipulia, sumakkisipulia, jalopenoa, suolakurkkua, tomaatti-kurkku-jäävuorisalaattimix, kebabkastiketta, valkosipulimajoneesia",13.9,16.9,,EUR,,,TRUE,assets/images/image1.jpg,,size_option
custom_bowl,doner_bowls,Be The Chef! Bowl,Oma Bowl - Be The Chef!,Create your own bowl combination,Luo oma bowl-yhdistelmäsi,13.9,16.9,,EUR,,,TRUE,assets/images/image1.jpg,,size_option
# Children's Menu,,,,,,,,,,,,,,,
kids_doner_fries,children,Kids Döner & French Fries,Lasten Kana/Nauta Döner & Ranskalaiset,"Your choice of döner, 2 falafel, french fries, tomato, cucumber, ketchup, tzatziki","Valitsemaasi döneriä, 2 falafelia, ranskalaiset, tomaattia, kurkkua, ketsuppia, tzatzikia",8.9,,,EUR,"L,K,G",,TRUE,assets/images/image1.jpg,,
kids_falafel_salad,children,Kids Falafel Salad,Lasten Falafel Salaatti,"3 falafel, tzatziki, hummus, red cabbage, cucumber, tomato, fresh salad mix","3 falafelia, tzatzikia, hummusta, punakaalia, kurkkua, tomaattia, tuore salaattimix",7.9,,,EUR,"L,K,G",,TRUE,assets/images/image1.jpg,,
# Sides,,,,,,,,,,,,,,,
chicken_strips,sides,Chicken Strips (6pcs),Chicken Strips (6kpl),"6 chicken strips, curry mayo, chili mayo, ketchup","Kana strips 6kpl, currymajoneesia, chilimajoneesi, ketchup",8.9,,,EUR,lactose-free,,TRUE,assets/images/image1.jpg,,
boneless_drumsticks,sides,Boneless Drumsticks (6pcs),Boneless Drumsticks (6kpl),"6 boneless drumsticks, curry mayo, chili mayo, ketchup","Boneless Drumsticks 6kpl, currymajoneesia, chilimajoneesi, ketchup",8.9,,,EUR,lactose-free,,TRUE,assets/images/image1.jpg,,
nuggets,sides,Nuggets (7pcs),Nugetti (7kpl),"7 nuggets, garlic mayo, ketchup","Nugetti 7kpl, valkosipulimajoneesia, ketchup",5.9,,,EUR,lactose-free,,TRUE,assets/images/image1.jpg,,
fish_chips,sides,Fish & Chips,Fish & chips,"Fried cod fillet, garlic mayo, lemon and french fries","Friteerattua turskan seläkettä, valkosipulimajoneesi, sitruuna sekä ranskalaiset",10.9,,,EUR,lactose-free,fish,TRUE,assets/images/image1.jpg,,
fries_chili_mayo,sides,French Fries & Chili Mayo,Ranskalaiset & Chilimajoneesi,French fries with chili mayo dip,Ranskalaiset perunat ja chilimajoneesi-dippi,3.9,,,EUR,"G,V",,TRUE,assets/images/image1.jpg,,
sweet_potato_fries,sides,Sweet Potato Fries & Tzatziki,Bataattiranskalaiset & Tzatzikia,Sweet potato fries with tzatziki dip,Bataattiranskalaiset ja tzatziki-dippi,4.9,,,EUR,"lactose-free,gluten-free",,TRUE,assets/images/image1.jpg,,
hummus_pide,sides,Hummus & Toasted Pide Bread,Hummus & Paahdettua pide-leipää,Hummus with toasted pide bread,Hummusta ja paahdettua pide-leipää,5.5,,,EUR,"vegan,lactose-free,gluten-free",,TRUE,assets/images/image1.jpg,,
falafel_hummus,sides,5 Falafel & Hummus,5 Falafelia & Hummus,5 falafel with hummus dip,5 falafelia ja hummus-dippi,4.9,,,EUR,"gluten-free,vegan",,TRUE,assets/images/image1.jpg,,
halloumi_fries,sides,Halloumi Fries & Tzatziki,Halloumiranskalaisia & Tzatzikia,Halloumi fries with tzatziki dip,Halloumiranskalaisia ja tzatziki-dippi,5.5,,,EUR,"lactose-free,gluten-free",,TRUE,assets/images/image1.jpg,,
cauliflower_hummus,sides,Cauliflower & Hummus,Kukkakaali & Hummus,Grilled cauliflower with hummus dip,Grillattua kukkakaalia ja hummus-dippi,4.9,,,EUR,"gluten-free,vegan",,TRUE,assets/images/image1.jpg,,
rice,sides,Rice,Riisi,Seasoned rice,Maustettua riisiä,3.9,,,EUR,"gluten-free,vegan",,TRUE,assets/images/image1.jpg,,
loaded_fries,sides,Loaded French Fries,Loaded ranskalaiset,"Chili mayo, seasoned onion, roasted onion and chili","Chilimajoneesi, maustettua sipulia, paahdettu sipulia ja chiliä",7,,,EUR,"gluten-free,vegan",,TRUE,assets/images/image1.jpg,,
# Beverages,,,,,,,,,,,,,,,
house_lemonade,beverages,House Lemonade,Talon Lemoned,Fresh house-made lemonade,Tuore talon tekemä limsa,2.9,,,EUR,"G,V",,TRUE,assets/images/image1.jpg,,
coca_cola,beverages,Coca-Cola 0.33L,Coca-Cola 0,33L,Classic Coca-Cola,Klassinen Coca-Cola,2.9,,,EUR,"vegan,gluten-free",,TRUE,assets/images/image1.jpg,,
coca_cola_zero,beverages,Coca-Cola Zero 0.33L,Coca-Cola Zero 0,33L,Sugar-free Coca-Cola,Sokeriton Coca-Cola,2.9,,,EUR,"vegan,gluten-free",,TRUE,assets/images/image1.jpg,,
jaffa_orange,beverages,Jaffa Orange 0.33L,Jaffa Appelsiini 0,33L,Orange flavored soft drink,Appelsiinimakuinen virvoitusjuoma,2.9,,,EUR,"vegan,gluten-free",,TRUE,assets/images/image1.jpg,,
7up_free,beverages,7Up Free 0.33L,7Up Free 0,33L,Sugar-free lemon-lime soda,Sokeriton sitruuna-lime virvoitusjuoma,2.9,,,EUR,"vegan,gluten-free",,TRUE,assets/images/image1.jpg,,
vichy_water,beverages,Hartwall Vichy Original 0.33L,Hartwall Vichy Original kivennäisvesi 0,33L,Mineral water,Kivennäisvesi,2.9,,,EUR,"vegan,gluten-free",,TRUE,assets/images/image1.jpg,,
mountain_dew,beverages,Mountain Dew 0.33L,Mountain Dew virvoitusjuoma 0,33L,Mountain Dew soft drink,Mountain Dew virvoitusjuoma,2.9,,,EUR,"vegan,gluten-free",,TRUE,assets/images/image1.jpg,,
jarritos,beverages,Jarritos 0.37L,Jarritos Guava/Mandarin/Mango/Grapefruit 0,37L,"Mexican fruit sodas - Guava, Mandarin, Mango, Grapefruit","Meksikolaiset hedelmävirvoitusjuomat - Guava, Mandariini, Mango, Grapefruit",3.9,,,EUR,"vegan,gluten-free",,TRUE,assets/images/image1.jpg,,
god_morgon_orange,beverages,God Morgon Orange,God Morgon Appelsiini,Orange juice,Appelsiinimehu,2.9,,,EUR,"vegan,gluten-free",,TRUE,assets/images/image1.jpg,,
god_morgon_apple,beverages,God Morgon Apple,God Morgon Omena,Apple juice,Omenamehu,2.9,,,EUR,"vegan,gluten-free",,TRUE,assets/images/image1.jpg,,
# Dips & Sauces,,,,,,,,,,,,,,,
garlic_mayo_dip,dips,Garlic Mayo,Valkosipulimajoneesi,Garlic mayonnaise,Valkosipulimajoneesi,1.5,,,EUR,lactose-free,,TRUE,assets/images/image1.jpg,,
chili_mayo_dip,dips,Chili Mayo,Chilimajoneesi,Chili mayonnaise,Chilimajoneesi,1.5,,,EUR,lactose-free,,TRUE,assets/images/image1.jpg,,
curry_mayo_dip,dips,Curry Mayo,Currymajoneesi,Curry mayonnaise,Currymajoneesi,1.5,,,EUR,lactose-free,,TRUE,assets/images/image1.jpg,,
tzatziki_dip,dips,Tzatziki,Tzatziki,Traditional Greek yogurt dip,Perinteinen kreikkalainen jogurttidippi,1.5,,,EUR,lactose-free,,TRUE,assets/images/image1.jpg,,
hummus_dip,dips,Hummus,Hummus,Traditional chickpea dip,Perinteinen kikhernedippi,1.5,,,EUR,vegan,,TRUE,assets/images/image1.jpg,,
naga_dip,dips,Naga,Naga,Spicy naga sauce,Tulinen naga-kastike,1.5,,,EUR,vegan,,TRUE,assets/images/image1.jpg,,
house_tomato_sauce,dips,House Tomato Sauce,Talon Tomatti kastike,House special tomato sauce,Talon erikoistomaattikastike,1.5,,,EUR,vegan,,TRUE,assets/images/image1.jpg,,
